payee,purpose,classified
Senate Conservatives Fund,IE-Lee-Donation Processing,donation processing
Big Eye Direct,"mail production costs, postage",mail voter contact
"McNally Temple Associates, Inc.",Direct Mail Services; Dissemination Date 05/20/16,mail voter contact
Adam Mason,staff time,payroll
The Prosper Group Corporation,Digital Advertising - Google,online advertising
ADZIG,FULFILLMENT ITEMS - DECALS,promotional
REVOLUTION AGENCY,MEDIA PRODUCTION,tv advertising
American Action News Llc,December Monthly Online Advertising Fees,online advertising
"SAVANNA COMMUNICATIONS, LLC",SOCIAL MEDIA ADVERTISING,online advertising
National Nurses United,Online Ad,online advertising
National Nurses United,Payroll,payroll
YOUTUBE,DIGITAL MEDIA PRODUCTION/PLACEMENT - SEE RED METRICS 1-4-16,online advertising
Envision Printers/Marketing,IE-Lee-Direct Mail Production,mail voter contact
720 Strategies LLC,Online Ad Costs,online advertising
Old Towne Media,Television Advertisement,tv advertising
"Chris Mottola Consulting, Inc.",media production,tv advertising
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,phone voter contact
M+R Strategic Services,E-mail copywriting,email voter contact
Advantage Direct,PAC Voter ID Program,voter contact
Club for Growth,phone solicitations (from advance line 21),phone voter contact
Senate Conservatives Fund,IE-DeSantis-Donation Processing,donation processing
"West Virginians for Life, Inc.",Printing,promotional
CRYSTAL PRESS,BANNER,promotional
CAMPAIGN FUNDING DIRECT,AGENCY FEES - CONSULTING,consulting
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS OVER SEVERAL WEEKS,voter contact
Big Eye Direct,"mail production costs, postage",mail voter contact
Valley Press,Envelopes for DM opposing Hillary Clinton (see 48 hr report filed on 1/8/2016),mail voter contact
"Planned Parenthood Minnesota, North Dakota, South Dakota",Salary,payroll
CP DIRECT,PRINTING,promotional
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
Organize Now Inc,Canvassing Services,canvassing
Blueprint Interactive,Online Advertising,online advertising
Thomas J. Dekemper,Canvassing Consulting Services for 3/28-3/31,canvassing
Club for Growth,internet communications (from advance line 21),online advertising
"Norway Hill Associates, Inc.",direct voter contact/direct marketing,mail voter contact
The Prosper Group Corporation,Digital Advertising - Facebook,online advertising
"FREEDOM PARTNERS CHAMBER OF COMMERCE, INC.",EMAIL MARKETING EXPENSE,email voter contact
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,phone voter contact
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
INFOCISION MANAGEMENT CORP,VOTER CONTACT,voter contact
Club for Growth,tv ad production costs (from advance line 21),tv advertising
Club for Growth,internet communications (from advance line 21),online advertising
OMEGA LIST COMPANY,LIST RENTAL EXPENSES,voter contact
Letter23,Convention materials and expenditures ,convention
"West Virginians for Life, Inc.",Travel/Deliver Mailings,travel
"SRCP Media, Inc.","Advertising - TV - also opposes Trump, Rubio",tv advertising
"Bronstein & Weaver, Inc.",Media - TV commercial,tv advertising
OnMessage Inc.,Media,advertising
Show Nets - Custom Internet Solutions,"Phone Bill-Phone Bank, Estimate",phone voter contact
Club for Growth,phone solicitations (from advance line 21),phone voter contact
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
Arena Online,Digital Advertising,online advertising
Campus Coach Lines,Bus for volunteers,travel
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
Monticello Media LLC,Advertising - Radio,radio advertising
EDDIE  FACEY,BROCHURES,promotional
Gloria Restrepo,Estimated Cost for Financial Management Services of Canvassing Prog. 4/28-5/4,canvassing
"West Virginians for Life, Inc.",Postage,mail voter contact
P+R Productions,Federal Video Ad Production,tv advertising
"Planned Parenthood Hudson Peconic Action Fund, Inc","Travel-Canvas, Estimate",travel
"Planned Parenthood Hudson Peconic Action Fund, Inc","Travel-Canvas, Estimate",canvassing
Martina Bryant,Estimated Cost for Canvassing Services 4/13-4/20,canvassing
Club for Growth,phone solicitations (from advance line 21),phone voter contact
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
Club for Growth,phone solicitations (from advance line 21),phone voter contact
Eduardo Garcia,Estimated Cost for Canvassing Services 4/13-4/20,canvassing
WESTLAND PRINTERS,FULFILLMENT ITEMS - BOOKS,promotional
USPS,Postage,mail voter contact
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
INFOCISION MANAGEMENT CORP,VOTER CONTACT,voter contact
The Prosper Group Corporation,Digital Advertising - Twitter,online advertising
Armour Media,Television Production,tv advertising
NOVA List Company,Mailing list brokerage fees for DM opposing Hillary Clinton (see 48 hr report filed 1/8/2016),mail voter contact
INFOCISION MANAGEMENT CORP,VOTER CONTACT,voter contact
"Voter Contact Services, LLC","Voter contact - field staff, technology, and data management",voter contact
REDWAVE COMMUNICATIONS LLC,DIRECT MAIL PRODUCTION,mail voter contact
FORTHRIGHT STRATRGIES INC,VOTER CONTACT MAIL,mail voter contact
"On the Mark Direct, LLC",direct mail services,mail voter contact
CLIENT FIRST CONSULTING GROUP LLC,VOTER CONTACT CALLS OVER NEXT SEVERAL WEEKS,phone voter contact
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
Amerimail Digital Direct,Direct Mail,mail voter contact
Kelly Press,Printing and Shipping - Rally Signs,promotional
SISK FULFILLMENT SERVICES,DIRECT MAIL - POSTAGE,mail voter contact
ACTIVE ENGAGEMENT LLC,ONLINE VOTER CONTACT,online advertising
INFOCISION MANAGEMENT CORP,VOTER CONTACT,voter contact
CAMPAIGN FUNDING DIRECT,AGENCY FEES - CONSULTING,consulting
SEIU General Fund,Estimated Cost:  Stickers,promotional
"McCarthy Hennings Whalen, Inc.",Advertising - Production,tv advertising
REVOLUTION AGENCY,MEDIA PRODUCTION,tv advertising
"MCBREARTY & ASSOCIATES, LLC",GOTV CALLS,phone voter contact
FORTHRIGHT STRATRGIES INC,VOTER CONTACT MAIL,mail voter contact
Club for Growth,internet communications (from advance line 21),online advertising
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
Budget,Rental Van,travel
The Prosper Group Corporation,Digital Advertising - Facebook,online advertising
Precision Network LLC,Digital Ad Buy - Actual costs; Estimates reported on 2/27 IE Report,online advertising
REVOLUTION MEDIA GROUP,DIGITAL MEDIA PLACEMENT,online advertising
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS OVER SEVERAL WEEKS,phone voter contact
"Target Enterprises, LLC",online advertising-also opposes Trump/ad change,online advertising
AMERICAN UNIONS EMBROIDERY AND SCREEN,T-SHIRTS,promotional
Old Towne Media,Television Advertisement,tv advertising
Cheltenham Printing,promotional signs printing,promotional
INFOCISION MANAGEMENT CORP,VOTER CONTACT,voter contact
ADVICTORY,ONLINE ADVERTISING - NATIONALLY DISTRIBUTED,online advertising
Beaconfire RedEngine,Estimated Cost:  Digital Advertising Production,online advertising
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
FORTHRIGHT STRATRGIES INC,VOTER CONTACT MAIL,mail voter contact
FORTHRIGHT STRATRGIES INC,VOTER CONTACT MAIL,mail voter contact
DSSI,VOTER MAIL - DATA PROCESSING,mail voter contact
REDWAVE COMMUNICATIONS LLC,"DIRECT MAIL PRODUCTION-ALSO OPPOSE TRUMP, CRUZ AND RUBIO",mail voter contact
OnMessage Inc.,Media,advertising
Senate Conservatives Fund,IE-Davidson-Donation Processing,donation processing
FORTHRIGHT STRATRGIES INC,VOTER CONTACT MAIL,mail voter contact
TM Design Corporation,promotional tshirts (staff paid then was reimbursed),promotional
Audience Partners,Media Production,advertising
US Post Office,mailing materials,mail voter contact
Creative Response Concepts,press release distribution,
Jamestown Associates,IE-Glenn-Media Production,
"SPL Strategies, LLC",Media production,
GOOGLE,DIGITAL MEDIA PRODUCTION/PLACEMENT - VIRGINIA,
"King Strategic Communications, Inc.",VOTER MAIL,
"First Tuesday Strategies, LLC",telephone calls,
SWIFTKURRENT,ADVERTISING - ONLINE,
YOUTUBE,DIGITAL MEDIA PRODUCTION/PLACEMENT - SEE RED METRICS 1-4-16,
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,
"Bask Digital Media, LLC","Digital ad placement, production costs, Math",
SEIU Local 21 LA,Phone Banking,
DDC,ONLINE ADVERTISING - SEE NOTICE FILED 4/20/16,
The Prosper Group Corporation (via Pinpoint Media LLC),Digital Advertising - Facebook/Google,
Lloyd Franklin,Salary and Benefits,
Club for Growth,email costs (from advance line 21),
CRC/Creative Response Concepts,Facebook Ad Campaign,
"West Virginians for Life, Inc.",Postage and Printing,
Shorr Johnson Magnus,Video Production (Estimate),
Senate Conservatives Fund,IE-Banks-Donation Processing,
Pinpoint Media LLC,Media Buy - Digital,
SISK FULFILLMENT SERVICES,POSTAGE,
Senate Conservatives Fund,IE-DeSantis-Donation Processing,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
The Prosper Group Corporation,Digital Advertising - TubeMogul,
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS OVER SEVERAL WEEKS,
"McCarthy Hennings Whalen, Inc.",Advertising - Production,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
"MAJORITAS USA, LLC",DIGITAL MEDIA PRODUCTION/PLACEMENT - NORTH CAROLINA,
Real Magnet,IE-Email Service-Holding,
Club for Growth,internet communication (from advance line 21),
"CD, Inc.",December Monthly Online Advertising,
SWIFTKURRENT,ADVERTISING - ONLINE,
3 West Club,"fundraising event space, catering",
Arena Online,Media placement,
The Prosper Group Corporation,Digital Advertising - Twitter (Paid 2/11/2016),
FORTHRIGHT STRATRGIES INC,VOTER MAIL,
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,
"RIGHT STRATEGIES, LLC",ADVERTISING - ONLINE,
REVOLUTION AGENCY,MEDIA PRODUCTION,
"Binnie Media/Carlisle One Media, Inc","Advertising - Radio (Reported as WEMJ -300, NH1 News - 900 on 24-Hour Report)",
Latino Print Network,Advertising,
The Prosper Group Corporation,Digital Advertising - Google (Paid 2/11/2016),
406 Enterprises LLC,Mobile advertisting (placement),
Linemark Printing,Buttons,
Konika Minolta Premier Finance,copying materials for organizing,
"League of Conservation Voters, Inc.",Staff Time for Press Release,
Lydia Kelly,Salary and Benefits,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
Club for Growth,internet communications (from advance line 21),
WERPOLITICS,DIGITAL ADVERTISING,
RIGEL STRATEGIES LLC,MEDIA,
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,
Bergmann Zwerdling Direct,Direct Mail,
Planned Parenthood Advocates of Wisconsin,"Travel-Canvas, Estimate",
"Target Enterprises, LLC",media placement-National-also oppose Bush and Clinton,
Latino Print Network,Advertising,
Xaviera Ramos,Estimated Cost for Canvassing Services 4/21-4/27,
Tusk Digital,online advertising-nationally disseminated,
SEIU General Fund,Estimated Cost:  Rally Signs,
"West Virginians for Life, Inc.",Printing,
Mitch Emerson,Payment for Canvassing Consulting Services for 3/28-3/31 as Disclosed on 3/30 48-Hour Report,
The Prosper Group Corporation,Digital Advertising - Facebook (Previously Disclosed),
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
BIGEYE DIRECT,DIRECT MAIL EXPENSE,
"Fletcher Rowley, Inc.",Website Design and Management,
Arena Online,Media placement,
Mountaintop Media,Radio Ad,
Lydia Kelly,Salary and Benefits,
"FatLab, LLC",web page design,
SWIFTKURRENT,ADVERTISING - ONLINE,
REVOLUTION AGENCY,MEDIA PRODUCTION,
Cardenas Strategy Group,Partial Payment for Radio Ad Production Disclosed on 2/16 24-Hr Rpt.,
Iowa Farner Today,Newspaper Advertisement,
USPS,Postage,
The Prosper Group Corporation,Digital Advertising - Google,
Tusk Digital,online advertising,
Club for Growth,email costs (from advance line 21),
Autumn Press,Printing,
The Prosper Group Corporation,Digital Advertising - Google,
Planned Parenthood Federation of America Inc.,List rental,
The Prosper Group Corporation,Digital Advertising - Facebook,
GOOGLE,DIGITAL MEDIA PRODUCTION/PLACEMENT - LOUISIANA,
Image Pointe,T-shirts,
Something Else Strategies,TV and Digital Media advertisement US in support of Martha Roby 2/17 - 3/1.,
Club for Growth,phone solicitations (from advance line 21),
"West Virginians for Life, Inc.",Postage and Printing,
FORTHRIGHT STRATRGIES INC,VOTER MAIL,
"West Virginians for Life, Inc.",Travel/Deliver Mailings,
Club for Growth,email costs (from advance line 21),
The Prosper Group Corporation,Digital Advertising - Twitter,
"MCCARTHY HENNINGS WHALEN, INC.",MEDIA PRODUCTION,
Planned Parenthood Federation of America Inc.,List rental,
Autumn Press,Printing,
Iowa Farner Today,Newspaper Advertisement,
"AMS Communications, Inc.",Mail Production and Postage Costs,
Shorr Johnson Magnus,Media Production Costs - Estimate,
Big Eye Direct,"mail production costs, postage",
REVOLUTION AGENCY,MEDIA PRODUCTION,
"WildFire Contact, LLC",Direct Mail,
"Red Sea, LLC","tv ad air buy, production costs",
"Wright's Printing & Marketing, LLP",Countywide Mailer,
National Nurses United,Payroll,
Hopkins Sachs,"Payment for IEs disseminated on 10/17/14 and 10/23/14; Trans ID B537030, B537026",
KYOK,Radio Ads,
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,
"New Day Media, LLC",Media Buy,
CAMPAIGN SOLUTIONS,ESTIMATE OF FEBRUARY MONTHLY FACEBOOK ADVERTISING,
SWIFTKURRENT,ADVERTISING - ONLINE,
Make DC Listen,Donation Processing,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
GOOGLE,MEDIA PLACEMENT - DIGITAL (Estimate),
Mustard Seed Media LLC,IE-Thomas-Email Marketing,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
ALLMAIL USA INC.,DIRECT MAIL - PRINTING AND POSTAGE,
INFOCISION MANAGEMENT CORP,VOTER CONTACT,
Precision Network LLC,Digital Ad Buy,
TMA DIRECT INC,eMAIL VOTER CONTACT,
i360,Predictive dialer minutes,
The Prosper Group Corporation,Digital Advertising - Facebook,
Club for Growth,press release (from advance line 21),
API,T-Shirts/Wristbands,
ADVANTAGE INC,PHONE CALLS,
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,
Fryed Solutions LLC,Website listing (February 1 - April 30),
FORTHRIGHT STRATRGIES INC,VOTER CONTACT MAIL,
"Victory Enterprises, Inc.",Online Advertising - Facebook (Estimate),
HARPER COLLINS PUBLISHERS,FULFILLMENT ITEMS - BOOKS,
Google,Digital Advertising,
Targeted Victory,online advertising,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,
FACEBOOK,DIGITAL MEDIA PRODUCTION/PLACEMENT - SEE RED METRICS 12-10-15,
North Wood Advertising,Radio,
Mountaintop Media,Media buy,
"THE STONERIDGE GROUP, LLC","DIRECT MAIL PRODUCTION-ALSO OPPOSE KASICH, CHRISTIE AND RUBIO",
REVOLUTION AGENCY,MEDIA PRODUCTION,
MERRIMACK JOURNAL,ADVERTISING - PRINT,
"First Tuesday Strategies, LLC",telephone calls,
"Target Enterprises, LLC",media placement,
OFFICE DEPOT,MAILING SUPPLIES,
SWIFTKURRENT,ADVERTISING - ONLINE,
The Prosper Group Corporation,Digital Advertising - Facebook,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
Facebook,Advertising,
Make DC Listen,Online Donation Processing,
INFOCISION MANAGEMENT CORP,VOTER CONTACT,
"Target Enterprises, LLC",media placement,
